tag,algo,feature,selected,dropped
L1,cat,activity,0.7333333333333333,0.0
L1,cat,age,0.8666666666666667,0.0
L1,cat,female,0.6666666666666666,0.0
L1,cat,imm,1.0,0.0
L1,cat,v1_alb,0.8666666666666667,0.0
L1,cat,v1_bio,1.0,0.0
L1,cat,v1_inf,1.0,0.0
L1,cat,v1_plt,1.0,0.0
L1,cat,weight,0.8666666666666667,0.0
L1,enet,activity,0.9333333333333333,0.0
L1,enet,age,0.4,0.0
L1,enet,female,0.4,0.0
L1,enet,imm,0.7333333333333333,0.0
L1,enet,v1_alb,0.9333333333333333,0.0
L1,enet,v1_bio,1.0,0.0
L1,enet,v1_inf,1.0,0.0
L1,enet,v1_plt,0.8666666666666667,0.0
L1,enet,weight,0.3333333333333333,0.0
L1,rf,activity,1.0,0.0
L1,rf,age,0.4666666666666667,0.0
L1,rf,female,0.4666666666666667,0.0
L1,rf,imm,0.5333333333333333,0.0
L1,rf,v1_alb,1.0,0.0
L1,rf,v1_bio,1.0,0.0
L1,rf,v1_inf,1.0,0.0
L1,rf,v1_plt,1.0,0.0
L1,rf,weight,0.9333333333333333,0.0
L1,xgb,activity,1.0,0.0
L1,xgb,age,0.4666666666666667,0.0
L1,xgb,female,0.4666666666666667,0.0
L1,xgb,imm,0.8666666666666667,0.0
L1,xgb,v1_alb,1.0,0.0
L1,xgb,v1_bio,1.0,0.0
L1,xgb,v1_inf,1.0,0.0
L1,xgb,v1_plt,1.0,0.0
L1,xgb,weight,0.6,0.0
L2,cat,activity,0.6,0.0
L2,cat,age,0.6666666666666666,0.0
L2,cat,female,0.4,0.0
L2,cat,imm,0.6666666666666666,0.0
L2,cat,v1_BASE,1.0,0.0
L2,cat,v1_CL,0.7333333333333333,0.0
L2,cat,v1_Cave,0.5333333333333333,0.0
L2,cat,v1_IC50,1.0,0.0
L2,cat,v1_V1,0.5333333333333333,0.0
L2,cat,v1_alb,0.8,0.0
L2,cat,v1_bio,1.0,0.0
L2,cat,v1_inf,1.0,0.0
L2,cat,v1_plt,1.0,0.0
L2,cat,weight,0.7333333333333333,0.0
L2,enet,activity,0.9333333333333333,0.0
L2,enet,age,0.26666666666666666,0.0
L2,enet,female,0.3333333333333333,0.0
L2,enet,imm,0.8666666666666667,0.0
L2,enet,v1_BASE,1.0,0.0
L2,enet,v1_CL,0.4666666666666667,0.0
L2,enet,v1_Cave,0.3333333333333333,0.0
L2,enet,v1_IC50,0.9333333333333333,0.0
L2,enet,v1_V1,0.3333333333333333,0.0
L2,enet,v1_alb,0.8666666666666667,0.0
L2,enet,v1_bio,0.9333333333333333,0.0
L2,enet,v1_inf,1.0,0.0
L2,enet,v1_plt,0.8,0.0
L2,enet,weight,0.26666666666666666,0.0
L2,rf,activity,0.4666666666666667,0.0
L2,rf,age,0.4,0.0
L2,rf,female,0.4,0.0
L2,rf,imm,0.4666666666666667,0.0
L2,rf,v1_BASE,1.0,0.0
L2,rf,v1_CL,0.4666666666666667,0.0
L2,rf,v1_Cave,0.4666666666666667,0.0
L2,rf,v1_IC50,1.0,0.0
L2,rf,v1_V1,0.4666666666666667,0.0
L2,rf,v1_alb,1.0,0.0
